saddr,daddr,sport
95.214.110.2,,http80
185.81.76.184,,http80
185.81.77.202,,http80
185.81.76.151,,http80
195.181.255.63,,http80
185.81.77.178,,http80
80.209.255.41,,http80
185.81.76.185,,http80
185.81.78.222,,http80
195.181.255.156,,http80
185.81.77.245,,http80
185.81.79.147,,http80
80.209.255.10,,http80
212.237.255.106,,http80
195.181.255.144,,http80
185.81.79.35,,http80
80.209.255.218,,http80
195.181.255.95,,http80
185.81.76.214,,http80
185.81.77.132,,http80
185.81.79.46,,http80
80.209.255.247,,http80
185.81.78.96,,http80
185.81.77.148,,http80
185.81.76.95,,http80
80.209.255.224,,http80
185.81.76.62,,http80
80.209.255.31,,http80
185.81.76.218,,http80
185.81.77.41,,http80
80.209.255.242,,http80
185.81.76.126,,http80
80.209.255.51,,http80
195.181.255.14,,http80
185.142.11.56,,http80
185.81.76.127,,http80
185.142.11.48,,http80
80.209.255.141,,http80
185.81.78.110,,http80
185.81.79.194,,http80
80.209.255.251,,http80
185.81.77.211,,http80
185.81.77.105,,http80
185.81.76.168,,http80
185.81.76.33,,http80
212.237.255.39,,http80
195.181.255.161,,http80
195.181.255.197,,http80
80.209.255.144,,http80
185.81.76.196,,http80
80.209.255.81,,http80
212.237.255.133,,http80
80.209.255.157,,http80
195.181.255.125,,http80
185.81.76.69,,http80
195.181.255.210,,http80
185.142.11.146,,http80
185.81.77.205,,http80
185.81.76.220,,http80
185.81.76.119,,http80
185.142.11.85,,http80
195.181.255.80,,http80
212.237.255.56,,http80
80.209.255.8,,http80
80.209.255.93,,http80
195.181.255.162,,http80
185.81.76.231,,http80
212.237.255.54,,http80
185.142.11.82,,http80
185.81.79.162,,http80
185.81.77.198,,http80
80.209.255.28,,http80
185.81.78.94,,http80
185.81.76.213,,http80
185.81.76.198,,http80
212.237.255.124,,http80
185.81.76.89,,http80
185.81.77.91,,http80
185.81.76.146,,http80
195.181.255.77,,http80
80.209.255.84,,http80
195.181.255.126,,http80
185.81.77.236,,http80
185.81.76.179,,http80
185.81.76.133,,http80
80.209.255.49,,http80
212.237.255.205,,http80
185.81.79.156,,http80
80.209.255.53,,http80
185.81.78.85,,http80
80.209.255.173,,http80
80.209.255.55,,http80
185.81.76.219,,http80
212.237.255.140,,http80
80.209.255.16,,http80
195.181.255.227,,http80
80.209.255.211,,http80
212.237.255.112,,http80
195.181.255.246,,http80
185.81.76.167,,http80
185.142.11.76,,http80
185.81.76.242,,http80
80.209.255.90,,http80
95.214.109.245,,http80
185.142.11.102,,http80
80.209.255.213,,http80
185.81.76.140,,http80
80.209.255.94,,http80
185.142.11.88,,http80
185.81.76.194,,http80
185.81.78.177,,http80
185.81.77.188,,http80
185.81.79.173,,http80
185.81.76.74,,http80
185.81.77.141,,http80
80.209.255.126,,http80
195.181.255.119,,http80
80.209.255.101,,http80
185.81.77.193,,http80
185.81.76.50,,http80
212.237.255.164,,http80
185.81.78.4,,http80
185.81.77.215,,http80
185.81.78.106,,http80
185.81.79.241,,http80
185.142.11.3,,http80
185.142.11.130,,http80
185.81.76.210,,http80
80.209.255.87,,http80
80.209.255.240,,http80
80.209.255.148,,http80
80.209.255.59,,http80
95.214.108.38,,http80
80.209.255.96,,http80
