saddr,daddr,sport
185.81.79.168,192.168.88.240,8080
185.81.76.251,192.168.88.240,8080
185.81.76.3,192.168.88.240,8080
185.81.76.123,192.168.88.240,8080
185.81.77.166,192.168.88.240,8080
185.81.78.6,192.168.88.240,8080
185.81.76.92,192.168.88.240,8080
185.81.79.135,192.168.88.240,8080
185.81.78.4,192.168.88.240,8080
195.181.255.120,192.168.88.240,8080
185.81.76.109,192.168.88.240,8080
185.81.76.86,192.168.88.240,8080
95.214.109.131,192.168.88.240,8080
185.81.79.214,192.168.88.240,8080
185.81.77.155,192.168.88.240,8080
185.81.79.190,192.168.88.240,8080
185.81.76.67,192.168.88.240,8080
185.81.77.221,192.168.88.240,8080
185.81.78.147,192.168.88.240,8080
185.81.77.111,192.168.88.240,8080
185.81.79.175,192.168.88.240,8080
185.81.79.138,192.168.88.240,8080
185.81.79.225,192.168.88.240,8080
185.81.79.200,192.168.88.240,8080
195.181.255.4,192.168.88.240,8080
185.81.79.185,192.168.88.240,8080
212.237.255.6,192.168.88.240,8080
95.214.109.114,192.168.88.240,8080
185.81.77.218,192.168.88.240,8080
185.81.78.44,192.168.88.240,8080
185.81.76.97,192.168.88.240,8080
185.81.77.26,192.168.88.240,8080
185.81.77.133,192.168.88.240,8080
185.81.76.133,192.168.88.240,8080
195.181.255.109,192.168.88.240,8080
195.181.255.137,192.168.88.240,8080
185.81.79.194,192.168.88.240,8080
185.81.76.126,192.168.88.240,8080
185.81.76.61,192.168.88.240,8080
185.81.79.174,192.168.88.240,8080
185.81.79.191,192.168.88.240,8080
185.81.79.13,192.168.88.240,8080
185.81.77.156,192.168.88.240,8080
185.81.78.102,192.168.88.240,8080
185.81.77.164,192.168.88.240,8080
185.81.79.169,192.168.88.240,8080
185.81.77.2,192.168.88.240,8080
212.237.255.34,192.168.88.240,8080
185.81.78.22,192.168.88.240,8080
185.81.77.77,192.168.88.240,8080
212.237.255.3,192.168.88.240,8080
185.81.79.173,192.168.88.240,8080
185.81.77.105,192.168.88.240,8080
185.81.79.252,192.168.88.240,8080
185.81.78.7,192.168.88.240,8080
185.81.77.81,192.168.88.240,8080
185.81.76.157,192.168.88.240,8080
212.237.255.166,192.168.88.240,8080
185.142.11.67,192.168.88.240,8080
185.81.78.176,192.168.88.240,8080
185.81.78.155,192.168.88.240,8080
185.142.11.49,192.168.88.240,8080
195.181.255.163,192.168.88.240,8080
185.81.76.253,192.168.88.240,8080
185.142.11.80,192.168.88.240,8080
185.142.11.74,192.168.88.240,8080
185.142.11.81,192.168.88.240,8080
185.142.11.75,192.168.88.240,8080
185.142.11.187,192.168.88.240,8080
185.142.11.181,192.168.88.240,8080
212.237.255.18,192.168.88.240,8080
185.81.77.165,192.168.88.240,8080
185.81.77.152,192.168.88.240,8080
212.237.255.21,192.168.88.240,8080
185.81.77.75,192.168.88.240,8080
