saddr,daddr,sport
185.81.77.177,192.168.88.240,80
80.209.255.61,192.168.88.240,80
212.237.255.55,192.168.88.240,80
80.209.255.74,192.168.88.240,80
80.209.255.194,192.168.88.240,80
185.81.78.91,192.168.88.240,80
95.214.111.172,192.168.88.240,80
185.81.76.78,192.168.88.240,80
212.237.255.44,192.168.88.240,80
80.209.255.80,192.168.88.240,80
212.237.255.141,192.168.88.240,80
80.209.255.190,192.168.88.240,80
185.81.76.220,192.168.88.240,80
95.214.111.115,192.168.88.240,80
185.81.77.198,192.168.88.240,80
185.81.79.241,192.168.88.240,80
185.81.78.159,192.168.88.240,80
80.209.255.51,192.168.88.240,80
95.214.108.120,192.168.88.240,80
185.81.76.137,192.168.88.240,80
195.181.255.103,192.168.88.240,80
185.81.78.245,192.168.88.240,80
95.214.109.53,192.168.88.240,80
185.81.78.217,192.168.88.240,80
212.237.255.206,192.168.88.240,80
80.209.255.21,192.168.88.240,80
80.209.255.46,192.168.88.240,80
185.81.76.39,192.168.88.240,80
80.209.255.129,192.168.88.240,80
212.237.255.85,192.168.88.240,80
195.181.255.77,192.168.88.240,80
80.209.255.196,192.168.88.240,80
185.81.78.112,192.168.88.240,80
185.81.76.133,192.168.88.240,80
185.81.77.163,192.168.88.240,80
212.237.255.139,192.168.88.240,80
185.81.76.120,192.168.88.240,80
80.209.255.195,192.168.88.240,80
195.181.255.13,192.168.88.240,80
185.81.76.232,192.168.88.240,80
185.81.77.189,192.168.88.240,80
185.81.76.229,192.168.88.240,80
185.81.76.81,192.168.88.240,80
195.181.255.88,192.168.88.240,80
80.209.255.76,192.168.88.240,80
195.181.255.109,192.168.88.240,80
195.181.255.132,192.168.88.240,80
80.209.255.131,192.168.88.240,80
195.181.255.119,192.168.88.240,80
195.181.255.122,192.168.88.240,80
185.81.78.47,192.168.88.240,80
185.81.77.166,192.168.88.240,80
185.81.76.67,192.168.88.240,80
185.81.77.215,192.168.88.240,80
195.181.255.220,192.168.88.240,80
185.81.76.77,192.168.88.240,80
185.81.77.135,192.168.88.240,80
185.81.79.13,192.168.88.240,80
80.209.255.94,192.168.88.240,80
185.81.78.50,192.168.88.240,80
185.81.78.100,192.168.88.240,80
95.214.111.81,192.168.88.240,80
80.209.255.241,192.168.88.240,80
185.81.76.140,192.168.88.240,80
185.81.77.181,192.168.88.240,80
80.209.255.96,192.168.88.240,80
185.81.76.157,192.168.88.240,80
195.181.255.156,192.168.88.240,80
195.181.255.124,192.168.88.240,80
80.209.255.57,192.168.88.240,80
80.209.255.112,192.168.88.240,80
80.209.255.128,192.168.88.240,80
212.237.255.124,192.168.88.240,80
80.209.255.93,192.168.88.240,80
212.237.255.4,192.168.88.240,80
195.181.255.76,192.168.88.240,80
80.209.255.59,192.168.88.240,80
185.81.76.171,192.168.88.240,80
195.181.255.93,192.168.88.240,80
195.181.255.179,192.168.88.240,80
185.81.77.178,192.168.88.240,80
195.181.255.157,192.168.88.240,80
185.81.77.194,192.168.88.240,80
185.81.77.120,192.168.88.240,80
195.181.255.231,192.168.88.240,80
185.81.76.48,192.168.88.240,80
95.214.109.52,192.168.88.240,80
185.81.77.242,192.168.88.240,80
80.209.255.244,192.168.88.240,80
80.209.255.166,192.168.88.240,80
185.81.76.197,192.168.88.240,80
212.237.255.202,192.168.88.240,80
185.81.77.204,192.168.88.240,80
185.81.76.198,192.168.88.240,80
80.209.255.143,192.168.88.240,80
212.237.255.182,192.168.88.240,80
80.209.255.4,192.168.88.240,80
185.81.76.203,192.168.88.240,80
95.214.111.82,192.168.88.240,80
212.237.255.79,192.168.88.240,80
195.181.255.133,192.168.88.240,80
185.81.78.34,192.168.88.240,80
185.81.79.252,192.168.88.240,80
185.81.77.60,192.168.88.240,80
80.209.255.230,192.168.88.240,80
185.81.77.191,192.168.88.240,80
212.237.255.190,192.168.88.240,80
185.81.77.218,192.168.88.240,80
185.81.76.217,192.168.88.240,80
80.209.255.39,192.168.88.240,80
185.81.77.162,192.168.88.240,80
185.81.76.109,192.168.88.240,80
80.209.255.205,192.168.88.240,80
80.209.255.130,192.168.88.240,80
185.81.76.45,192.168.88.240,80
80.209.255.50,192.168.88.240,80
185.81.77.96,192.168.88.240,80
80.209.255.133,192.168.88.240,80
212.237.255.39,192.168.88.240,80
80.209.255.224,192.168.88.240,80
80.209.255.179,192.168.88.240,80
212.237.255.236,192.168.88.240,80
185.81.78.113,192.168.88.240,80
195.181.255.222,192.168.88.240,80
185.81.77.221,192.168.88.240,80
185.81.76.168,192.168.88.240,80
212.237.255.45,192.168.88.240,80
185.81.78.49,192.168.88.240,80
