saddr,daddr,sport
185.142.8.112,192.168.211.122,80
95.214.110.92,192.168.211.122,80
95.214.110.206,192.168.211.122,80
80.209.255.113,192.168.211.122,80
185.81.76.236,192.168.211.122,80
185.142.10.47,192.168.211.122,80
95.214.111.198,192.168.211.122,80
185.142.11.113,192.168.211.122,80
185.142.10.253,192.168.211.122,80
185.142.8.18,192.168.211.122,80
185.142.11.137,192.168.211.122,80
212.237.255.171,192.168.211.122,80
185.81.78.107,192.168.211.122,80
185.81.76.70,192.168.211.122,80
95.214.111.125,192.168.211.122,80
212.237.255.150,192.168.211.122,80
185.142.11.124,192.168.211.122,80
185.142.8.103,192.168.211.122,80
195.181.255.47,192.168.211.122,80
212.237.255.199,192.168.211.122,80
185.81.77.70,192.168.211.122,80
185.81.78.47,192.168.211.122,80
80.209.255.100,192.168.211.122,80
95.214.108.93,192.168.211.122,80
95.214.109.229,192.168.211.122,80
185.81.76.248,192.168.211.122,80
95.214.109.91,192.168.211.122,80
185.81.79.74,192.168.211.122,80
185.142.9.53,192.168.211.122,80
95.214.108.215,192.168.211.122,80
95.214.109.211,192.168.211.122,80
195.181.255.40,192.168.211.122,80
185.81.76.127,192.168.211.122,80
212.237.255.195,192.168.211.122,80
95.214.110.204,192.168.211.122,80
185.81.79.176,192.168.211.122,80
185.142.10.172,192.168.211.122,80
185.142.9.129,192.168.211.122,80
185.81.79.61,192.168.211.122,80
95.214.108.96,192.168.211.122,80
185.142.11.226,192.168.211.122,80
185.142.8.191,192.168.211.122,80
185.81.79.50,192.168.211.122,80
80.209.255.122,192.168.211.122,80
185.142.10.223,192.168.211.122,80
185.81.77.101,192.168.211.122,80
95.214.109.158,192.168.211.122,80
95.214.111.76,192.168.211.122,80
195.181.255.186,192.168.211.122,80
185.81.78.110,192.168.211.122,80
95.214.109.27,192.168.211.122,80
185.81.76.110,192.168.211.122,80
185.142.9.120,192.168.211.122,80
212.237.255.60,192.168.211.122,80
185.81.78.202,192.168.211.122,80
95.214.109.217,192.168.211.122,80
95.214.109.32,192.168.211.122,80
185.142.8.17,192.168.211.122,80
95.214.110.251,192.168.211.122,80
185.142.9.17,192.168.211.122,80
185.142.11.82,192.168.211.122,80
185.81.78.252,192.168.211.122,80
80.209.255.105,192.168.211.122,80
185.142.9.179,192.168.211.122,80
95.214.109.170,192.168.211.122,80
195.181.255.231,192.168.211.122,80
80.209.255.79,192.168.211.122,80
195.181.255.151,192.168.211.122,80
185.142.11.145,192.168.211.122,80
185.142.9.252,192.168.211.122,80
185.81.76.171,192.168.211.122,80
185.142.8.29,192.168.211.122,80
185.142.10.69,192.168.211.122,80
185.142.9.209,192.168.211.122,80
95.214.109.121,192.168.211.122,80
185.81.78.116,192.168.211.122,80
95.214.110.95,192.168.211.122,80
95.214.110.223,192.168.211.122,80
185.142.10.246,192.168.211.122,80
95.214.110.254,192.168.211.122,80
95.214.110.155,192.168.211.122,80
185.142.11.207,192.168.211.122,80
185.81.79.56,192.168.211.122,80
185.142.10.219,192.168.211.122,80
95.214.109.75,192.168.211.122,80
185.142.9.87,192.168.211.122,80
185.142.11.81,192.168.211.122,80
185.142.11.119,192.168.211.122,80
95.214.111.143,192.168.211.122,80
195.181.255.77,192.168.211.122,80
